년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2021,체류형창업지원센터,토지개발지역,대지(2지역),2지역,34452,표토(15cm),0,7.8,2.98,0.03,26.5,0,80,10,198,,,0,,,,,,,,,,,7.6
2021,청소년 수련원,토지개발지역,유원지,2지역,3673,표토(15cm),0,22.5,8.63,0.06,23.8,0,110.2,23.2,,,,0,,,,,,,,,,,8.5
2021,현대강관,산업단지 및 공장지역,공장용지,3지역,5554,표토 (10~15cm),0,0,0,0,7.2,0,100.9,4.8,296,,,0,0,0,0,0,0,105,0,0,,0,7.9
2021,롯데푸드,공장폐수 유입지역,공장용지,3지역,2886,표토(10~15cm),0,2.2,0,0,12.5,0,63.2,6.7,385,,,0,0,0,0,0,0,88,0,0,,0,6.6
2021,(주)국순당,공장폐수 유입지역,공장용지,3지역,4731,표토(10~15cm),0,2.2,0,0,13.9,0,68.9,2.9,366,,,0,0,0,0,0,0,72,0,0,,0,7.8
2021,대신자원,원광석·고철 등의 보관·사용지역,잡종지(2지역),2지역,1712,표토(10~15cm),0.21,17.5,0,0.43,56.3,0,180.6,8.6,350,,,0,0,0,0,0,0,516,0,0,,0,6.9
2021,횡성군폐기물종합처리장,폐기물 처리 및 재활용 관련 지역,잡종지(2지역),2지역,830,표토(10~15cm),0,1.6,0,0.03,18.3,0,77.9,4,285,,,0,0,0,0,0,0,117,,,,,7.1
2021,운전면허연습장,교통관련시설지역,잡종지(2지역),2지역,8540,표토 10~15 cm,0,0,0,0,10.5,0,83,3,271,,,0,0,0,0,0,0,105,,,,,7.2
2021,명성관광,교통관련시설지역,주차장,3지역,1470,표토(10~15cm),0,6.3,0,0,13.4,0,199.1,5.4,,,,0,,,,,,,,,,,7.6
2021,횡성유기농산,사고·민원 등 발생지역,공장용지,3지역,12397,표토(10~15cm),0,3.9,0,0,6.9,0,51.5,5.5,255,,,0,0,0,0,0,0,94,0,0,,0,8.3
2021,푸른디딤농업회사법인,사고·민원 등 발생지역,공장용지,3지역,1256,표토(10~15cm),0,11.5,0,0.01,13,0,74.8,10.8,219,,,0,0,0,0,0,0,130,0,0,,0,6.8
2021,횡성스포랜드,사격장 관련시설지역,체육용지,2지역,3640,표토(10~15cm),0,7.8,5.39,0,3973.4,0,58.5,6.6,,0,,0,,,,,,,,,,,7.3
2021,아파트단지개발,토지개발지역,대지(1지역),1지역,1542,표토(10~15cm),0,1,0,0.04,15.5,0,84.1,5.7,305,,,0,,,,,,,,,,,7.6
2021,팔괴1농공단지,산업단지 및 공장지역,공장용지,3지역,4483.5,표토,0.35,17.2,0,0.04,12.7,0,44.9,10.8,244,,,0,0,0,0,0,0,0,0,0,,0,8.6
2021,팔괴농공단지 2,산업단지 및 공장지역,공장용지,3지역,1137,표토,0.18,9.3,0,0.02,18.4,0,44.9,7.2,110,,,0,0,0,0,0,0,0,0,0,,0,8.8
2021,문곡농공단지,산업단지 및 공장지역,공장용지,3지역,3979.8,표토,3.99,503.6,10.86,0.06,234.8,0,1810.7,12.6,373,,,0,0,0,0,0,0,83,0,0,,0,9.1
2021,영월군환경시설사업소,폐기물 처리 및 재활용 관련 지역,답,1지역,2377,표토,0,4.4,3.43,0.04,12.1,0,25.9,3.2,,0,,0,,,,,,,,,,,8.8
2021,쌍용양회(주)영월공장,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,10198,표토,0.25,11.6,0,0.04,19.4,0,68.6,6.1,352,,,0,0,0,0,0,0,61,0,0,,0,8.8
2021,한일현대시멘트(주)영월공장,폐기물 처리 및 재활용 관련 지역,공장용지,3지역,14460,표토,0,11,0,0.03,14.6,0,48.6,8.6,236,,,0,0,0,0,0,0,0,0,0,,0,9
2021,한반도면 비위생매립장,폐기물 처리 및 재활용 관련 지역,임야,2지역,6341,표토,0.35,14.7,0,0.04,12.9,0,57.6,11,,,,0,,,,,,,,,,,8.7
2021,중동면 비위생매립장,폐기물 처리 및 재활용 관련 지역,전,1지역,1650,표토,0.44,37.1,0,0.02,15.2,0,46.7,4.4,,0,,0,,,,,,,,,,,8.6
2021,주천면 비위생매립장,폐기물 처리 및 재활용 관련 지역,대지(2지역),2지역,6156.7,표토,0.4,15.2,0,0.04,16.1,0,50.8,13.1,104,,,0,,,,,,,,,,,8.6
2021,SK영월주유소,노후·방치 주유소 지역,주유소용지,3지역,1526,표토,0.7,16.4,7.08,0.03,20.6,0,94.8,11.8,,,,0,,0,0,0,0,60,,,,,8.3
2021,수라주유소,노후·방치 주유소 지역,전,1지역,3945,표토,0.68,27.7,11.52,0.08,58.8,0,98.4,12.5,,0,,0,,,,,,,,,,,7.1
2021,상어주유소,노후·방치 주유소 지역,주유소용지,3지역,1465,표토,0.24,10.4,8.84,0.03,10.7,0,54.2,6.7,,,,0,,0,0,0,0,58,,,,,7.9
2021,주천주유소,노후·방치 주유소 지역,주유소용지,3지역,348,표토,0.56,9.1,0,0.05,13.8,0,75.4,4.9,,,,0,,0,0,0,0,68,,,,,7.5
